unit_number,temperature,topic_name,full_unit_number
19,15,cmd/Locker/cippo/00001/001,000100378300001001
18,15,cmd/Locker/cippo/00001/001,000100378300001001
17,15,cmd/Locker/cippo/00001/001,000100378300001001
16,15,cmd/Locker/cippo/00001/001,000100378300001001
15,15,cmd/Locker/cippo/00001/001,000100378300001001
7,4,cmd/Locker/cippo/00001/001,000100378300001001
6,4,cmd/Locker/cippo/00001/001,000100378300001001
5,4,cmd/Locker/cippo/00001/001,000100378300001001
4,4,cmd/Locker/cippo/00001/001,000100378300001001
3,4,cmd/Locker/cippo/00001/001,000100378300001001
2,4,cmd/Locker/cippo/00001/001,000100378300001001
1,4,cmd/Locker/cippo/00001/001,000100378300001001
8,5,cmd/Locker/cippo/00001/001,000100378300001001
9,5,cmd/Locker/cippo/00001/001,000100378300001001
10,5,cmd/Locker/cippo/00001/001,000100378300001001
11,5,cmd/Locker/cippo/00001/001,000100378300001001
12,5,cmd/Locker/cippo/00001/001,000100378300001001
13,5,cmd/Locker/cippo/00001/001,000100378300001001
14,5,cmd/Locker/cippo/00001/001,000100378300001001
